halo, total_mass, baryon_mass, particle_mass, star_mass 
[8098, 13292155.0471 Msun, 13884.4039975 Msun, 13278270.6431 Msun, 0]
[8099, 14302875.1416 Msun, 16112.3454023 Msun, 14286762.7962 Msun, 0]
[8100, 10806472.0862 Msun, 49380.0984164 Msun, 10757091.9877 Msun, 0]
[8101, 16130809.9198 Msun, 1339808.43663 Msun, 14791001.4831 Msun, 0]
[8102, 14983317.8393 Msun, 24236.7938725 Msun, 14959081.0455 Msun, 0]
[8103, 12607622.715 Msun, 1655.5418287 Msun, 12605967.1731 Msun, 0]
[8104, 11959905.37 Msun, 26256.4460979 Msun, 11933648.9239 Msun, 0]
[8105, 10797628.2868 Msun, 40536.2990973 Msun, 10757091.9877 Msun, 0]
[8106, 14834683.8116 Msun, 211761.890796 Msun, 14622921.9208 Msun, 0]
[8107, 13280338.5641 Msun, 2053.1417674 Msun, 13278285.4224 Msun, 0]
[8108, 13650444.0014 Msun, 35999.4544535 Msun, 13614444.547 Msun, 0]
[8109, 10888953.4713 Msun, 131861.483539 Msun, 10757091.9877 Msun, 0]
[8110, 13283194.0479 Msun, 4908.62550611 Msun, 13278285.4224 Msun, 0]
[8111, 13811393.6174 Msun, 196949.070382 Msun, 13614444.547 Msun, 0]
[8112, 10931999.8096 Msun, 6828.25955259 Msun, 10925171.5501 Msun, 0]
[8113, 12607487.4365 Msun, 1520.26331592 Msun, 12605967.1731 Msun, 0]
[8114, 15168165.8009 Msun, 41005.1931499 Msun, 15127160.6078 Msun, 0]
[8115, 13655342.2641 Msun, 40897.7171535 Msun, 13614444.547 Msun, 0]
[8116, 12796403.3869 Msun, 22356.65148 Msun, 12774046.7354 Msun, 0]
[8117, 12752813.6214 Msun, 146846.448301 Msun, 12605967.1731 Msun, 0]
[8118, 12019456.3347 Msun, 253886.973097 Msun, 11765569.3616 Msun, 0]
[8119, 11425257.7713 Msun, 163927.096593 Msun, 11261330.6747 Msun, 0]
[8120, 39398960.2711 Msun, 908740.502506 Msun, 38490219.7686 Msun, 0]
[8121, 12781351.7525 Msun, 7305.0170491 Msun, 12774046.7354 Msun, 0]
[8122, 26860162.2521 Msun, 135511.845054 Msun, 26724650.407 Msun, 0]
[8123, 12302316.7461 Msun, 32516.0872075 Msun, 12269800.6589 Msun, 0]
[8124, 10984614.9316 Msun, 227530.333482 Msun, 10757084.5981 Msun, 0]
[8125, 13149737.4253 Msun, 39531.5652069 Msun, 13110205.8601 Msun, 0]
[8126, 13458241.509 Msun, 11876.5243152 Msun, 13446364.9847 Msun, 0]
[8127, 10455615.1762 Msun, 34682.3130726 Msun, 10420932.8631 Msun, 0]
[8128, 12612133.7742 Msun, 6166.601101 Msun, 12605967.1731 Msun, 0]
[8129, 12588284.615 Msun, 150397.004197 Msun, 12437887.6108 Msun, 0]
[8130, 17911808.4949 Msun, 95374.8901579 Msun, 17816433.6047 Msun, 0]
[8131, 10473005.0401 Msun, 52072.1769752 Msun, 10420932.8631 Msun, 0]
[8132, 13250532.4794 Msun, 140326.619345 Msun, 13110205.8601 Msun, 0]
[8133, 10653772.3748 Msun, 64759.9493438 Msun, 10589012.4254 Msun, 0]
[8134, 12174741.7312 Msun, 73013.2449638 Msun, 12101728.4862 Msun, 0]
[8135, 10817527.7757 Msun, 60435.7879419 Msun, 10757091.9877 Msun, 0]
[8136, 10266922.6783 Msun, 14069.3774428 Msun, 10252853.3008 Msun, 0]
[8137, 13472866.1093 Msun, 26501.1245936 Msun, 13446364.9847 Msun, 0]
