halo, total_mass, baryon_mass, particle_mass, star_mass 
[104, 1.04880207946e+12 Msun, 1.25589501987e+11 Msun, 9.23212577476e+11 Msun, 0]
[105, 5.6594403808e+12 Msun, 8.40972946229e+11 Msun, 4.81846743457e+12 Msun, 0]
[106, 1.15866326745e+12 Msun, 1.99651246254e+11 Msun, 9.59012021196e+11 Msun, 0]
[107, 3.50385038683e+12 Msun, 4.92566409293e+11 Msun, 3.01128397754e+12 Msun, 0]
[108, 8.70083661293e+11 Msun, 1.15541539806e+11 Msun, 7.54542121487e+11 Msun, 0]
[109, 7.42070611825e+11 Msun, 96303723180.5 Msun, 6.45766888645e+11 Msun, 0]
[110, 9.92424128341e+11 Msun, 1.44252692509e+11 Msun, 8.48171435832e+11 Msun, 0]
[111, 1.08903859435e+12 Msun, 1.43795589967e+11 Msun, 9.45243004381e+11 Msun, 0]
[112, 9.96146659468e+11 Msun, 1.50040576158e+11 Msun, 8.4610608331e+11 Msun, 0]
[113, 5.70879417295e+12 Msun, 9.18553222851e+11 Msun, 4.7902409501e+12 Msun, 0]
[114, 1.54806587386e+12 Msun, 2.25551808731e+11 Msun, 1.32251406512e+12 Msun, 0]
[115, 8.31808808234e+11 Msun, 1.15819933831e+11 Msun, 7.15988874404e+11 Msun, 0]
[116, 9.2922283949e+12 Msun, 1.16575467042e+12 Msun, 8.12647372448e+12 Msun, 0]
[117, 2.10134756364e+12 Msun, 3.17571435193e+11 Msun, 1.78377612844e+12 Msun, 0]
[118, 8.32648230516e+11 Msun, 1.11840200227e+11 Msun, 7.20808030289e+11 Msun, 0]
[119, 5.42582282176e+11 Msun, 57224439431.4 Msun, 4.85357842745e+11 Msun, 0]
[120, 5.40785817991e+11 Msun, 39593605908.4 Msun, 5.01192212082e+11 Msun, 0]
[121, 1.01435192947e+12 Msun, 1.28315697391e+11 Msun, 8.86036232074e+11 Msun, 0]
[122, 1.09478702827e+12 Msun, 1.90162623494e+11 Msun, 9.04624404775e+11 Msun, 0]
[123, 7.30062568037e+11 Msun, 1.02195401252e+11 Msun, 6.27867166785e+11 Msun, 0]
[124, 7.50447247017e+11 Msun, 1.04186737791e+11 Msun, 6.46260509226e+11 Msun, 0]
[125, 9.73724055603e+11 Msun, 1.57909809288e+11 Msun, 8.15814246316e+11 Msun, 0]
[126, 7.41133352195e+11 Msun, 1.0431632448e+11 Msun, 6.36817027715e+11 Msun, 0]
[127, 1.9321406979e+12 Msun, 2.81235581725e+11 Msun, 1.65090511617e+12 Msun, 0]
[128, 4.80008309012e+11 Msun, 43530475962.5 Msun, 4.3647783305e+11 Msun, 0]
[129, 6.08004461274e+11 Msun, 71701256311.8 Msun, 5.36303204962e+11 Msun, 0]
[130, 5.3630767257e+11 Msun, 46130673940.3 Msun, 4.9017699863e+11 Msun, 0]
[131, 5.64541301653e+12 Msun, 9.61881946757e+11 Msun, 4.68353106978e+12 Msun, 0]
